Date,Acc Code,Je Source,Category,Journal Name,Gl Doc Num,Description,GL Line Description,GL Line Num,Party/Customer Name,Reference Number,Sub Doc Num,Sub Ledger Description,Accounted Dr,Accounted Cr
16-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470122 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500173525,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,2000
16-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470130 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500173524,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,1700
16-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470178 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500173529,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,500
16-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470193 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500173546,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,4725
17-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470393 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500174718,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,1200
17-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470436 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500174717,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,1000
18-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470446 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500175353,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,180
18-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470557 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500175360,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,5700
18-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470571 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500175352,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,1
19-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470807 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500176174,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,900
19-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470836 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500176300,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,500
21-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-470930 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500177249,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,250
23-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-471351 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500178205,Journal Import 2591676:,//SETTLEMENT,2,,,,,0,250
25-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-471654 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500179534,Journal Import 2591676:,//SETTLEMENT,2,,,,,0,1100
25-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-471736 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500179289,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,6600
26-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-471858 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500180112,Journal Import 2591676:,//SETTLEMENT,2,,,,,0,11400
26-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-471890 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500180111,Journal Import 2591676:,//SETTLEMENT,2,,,,,0,4900
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075767 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165883,Journal Import 2599930:,/EFT/RECEIPT,2,,,,,0,108
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075771 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165802,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,836
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075778 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165823,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1850
